,Bill Number,First Name,Last Name,Party,State,Vote Cast
277,H.R. 7024,Eric ,Schmitt,R,MO,Nay
278,H.R. 7024,Charles,Schumer,D,NY,Nay
279,H.R. 7024,Rick,Scott,R,FL,Yea
280,H.R. 7024,Tim,Scott,R,SC,Not Voting
281,H.R. 7024,Jeanne,Shaheen,D,NH,Yea
282,H.R. 7024,Kyrsten,Sinema,I,AZ,Yea
283,H.R. 7024,Tina,Smith,D,MN,Yea
284,H.R. 7024,Debbie,Stabenow,D,MI,Yea
285,H.R. 7024,Dan,Sullivan,R,AK,Nay
286,H.R. 7024,Jon,Tester,D,MT,Yea
287,H.R. 7024,John,Thune,R,SD,Nay
288,H.R. 7024,Thomas,Tillis,R,NC,Nay
289,H.R. 7024,Tommy,Tuberville,R,AL,Nay
290,H.R. 7024,Chris,Van Hollen,D,MD,Yea
291,H.R. 7024,J.,Vance,R,OH,Not Voting
292,H.R. 7024,Mark,Warner,D,VA,Not Voting
293,H.R. 7024,Raphael,Warnock,D,GA,Yea
294,H.R. 7024,Elizabeth,Warren,D,MA,Yea
295,H.R. 7024,Peter,Welch,D,VT,Yea
296,H.R. 7024,Sheldon,Whitehouse,D,RI,Yea
297,H.R. 7024,Roger,Wicker,R,MS,Nay
298,H.R. 7024,Ron,Wyden,D,OR,Yea
299,H.R. 7024,Todd,Young,R,IN,Nay
300,H.R. 3935,Tammy,Baldwin,D,WI,Yea
301,H.R. 3935,John,Barrasso,R,WY,Not Voting
302,H.R. 3935,Michael,Bennet,D,CO,Yea
303,H.R. 3935,Marsha,Blackburn,R,TN,Yea
304,H.R. 3935,Richard,Blumenthal,D,CT,Yea
305,H.R. 3935,Cory,Booker,D,NJ,Yea
306,H.R. 3935,John,Boozman,R,AR,Yea
307,H.R. 3935,Mike,Braun,R,IN,Not Voting
308,H.R. 3935,Katie,Britt,R,AL,Not Voting
309,H.R. 3935,Sherrod ,Brown,D,OH,Yea
310,H.R. 3935,Ted,Budd,R,NC,Yea
311,H.R. 3935,Laphonza,Butler,D,CA,Yea
312,H.R. 3935,Maria,Cantwell,D,WA,Yea
313,H.R. 3935,Shelley,Capito,R,WV,Yea
314,H.R. 3935,Ben,Cardin,D,MD,Nay
315,H.R. 3935,Thomas,Carper,D,DE,Yea
316,H.R. 3935,Bob,Casey,D,PA,Yea
317,H.R. 3935,Bill,Cassidy,R,LA,Yea
318,H.R. 3935,Susan,Collins,R,ME,Yea
319,H.R. 3935,Christopher,Coons,D,DE,Yea
320,H.R. 3935,John,Cornyn,R,TX,Yea
321,H.R. 3935,Catherine,Cortez Masto,D,NV,Yea
322,H.R. 3935,Tom,Cotton,R,AR,Yea
323,H.R. 3935,Kevin,Cramer,R,ND,Yea
324,H.R. 3935,Mike,Crapo,R,ID,Yea
325,H.R. 3935,Ted,Cruz,R,TX,Yea
326,H.R. 3935,Steve,Daines,R,MT,Yea
327,H.R. 3935,Tammy,Duckworth,D,IL,Yea
328,H.R. 3935,Richard,Durbin,D,IL,Yea
329,H.R. 3935,Joni,Ernst,R,IA,Yea
330,H.R. 3935,John,Fetterman,D,PA,Yea
331,H.R. 3935,Deb,Fischer,R,NE,Yea
332,H.R. 3935,Kirsten,Gillibrand,D,NY,Yea
333,H.R. 3935,Lindsey,Graham,R,SC,Yea
