Unnamed: 0,Bill Number,First Name,Last Name,Party,State,Vote Cast,Name
350,H.R. 3935,Mike,Lee,R,UT,Yea,Mike Lee
351,H.R. 3935,Ben,Lujan,D,NM,Yea,Ben Lujan
352,H.R. 3935,Cynthia,Lummis,R,WY,Yea,Cynthia Lummis
353,H.R. 3935,Joseph,Manchin,D,WV,Not Voting,Joseph Manchin
354,H.R. 3935,Edward,Markey,D,MA,Yea,Edward Markey
355,H.R. 3935,Roger,Marshall,R,KS,Yea,Roger Marshall
356,H.R. 3935,Mitch,McConnell,R,KY,Yea,Mitch McConnell
357,H.R. 3935,Robert,Menendez,D,NJ,Not Voting,Robert Menendez
358,H.R. 3935,Jeff,Merkley,D,OR,Yea,Jeff Merkley
359,H.R. 3935,Jerry,Moran,R,KS,Yea,Jerry Moran
360,H.R. 3935,Markwayne,Mullin,R,OK,Yea,Markwayne Mullin
361,H.R. 3935,Lisa,Murkowski,R,AK,Yea,Lisa Murkowski
362,H.R. 3935,Christopher,Murphy,D,CT,Yea,Christopher Murphy
363,H.R. 3935,Patty,Murray,D,WA,Yea,Patty Murray
364,H.R. 3935,Jon,Ossoff,D,GA,Yea,Jon Ossoff
365,H.R. 3935,Alex,Padilla,D,CA,Yea,Alex Padilla
366,H.R. 3935,Rand,Paul,R,KY,Yea,Rand Paul
367,H.R. 3935,Gary,Peters,D,MI,Yea,Gary Peters
368,H.R. 3935,John,Reed,D,RI,Yea,John Reed
369,H.R. 3935,Pete,Ricketts,R,NE,Yea,Pete Ricketts
370,H.R. 3935,James ,Risch,R,ID,Yea,James  Risch
371,H.R. 3935,Mitt,Romney,R,UT,Not Voting,Mitt Romney
372,H.R. 3935,Jacklyn,Rosen,D,NV,Yea,Jacklyn Rosen
373,H.R. 3935,Mike,Rounds,R,SD,Yea,Mike Rounds
374,H.R. 3935,Marco,Rubio,R,FL,Yea,Marco Rubio
375,H.R. 3935,Bernard,Sanders,I,VT,Yea,Bernard Sanders
376,H.R. 3935,Brian,Schatz,D,HI,Yea,Brian Schatz
377,H.R. 3935,Eric ,Schmitt,R,MO,Yea,Eric  Schmitt
378,H.R. 3935,Charles,Schumer,D,NY,Yea,Charles Schumer
379,H.R. 3935,Rick,Scott,R,FL,Yea,Rick Scott
380,H.R. 3935,Tim,Scott,R,SC,Yea,Tim Scott
381,H.R. 3935,Jeanne,Shaheen,D,NH,Yea,Jeanne Shaheen
382,H.R. 3935,Kyrsten,Sinema,I,AZ,Not Voting,Kyrsten Sinema
383,H.R. 3935,Tina,Smith,D,MN,Yea,Tina Smith
384,H.R. 3935,Debbie,Stabenow,D,MI,Yea,Debbie Stabenow
385,H.R. 3935,Dan,Sullivan,R,AK,Yea,Dan Sullivan
386,H.R. 3935,Jon,Tester,D,MT,Yea,Jon Tester
